jahr	bezirk	kanton	typ	anzahl
2019	Bezirk Bucheggberg	SO	Gewerbe FZ	45
2020	Bezirk Bucheggberg	SO	Gewerbe FZ	45
2021	Bezirk Bucheggberg	SO	Gewerbe FZ	44
2022	Bezirk Bucheggberg	SO	Gewerbe FZ	44
2023	Bezirk Bucheggberg	SO	Gewerbe FZ	43
1990	Bezirk Dorneck	SO	Leichte Motorwagen	13112
1991	Bezirk Dorneck	SO	Leichte Motorwagen	13116
1992	Bezirk Dorneck	SO	Leichte Motorwagen	13120
1993	Bezirk Dorneck	SO	Leichte Motorwagen	13119
1994	Bezirk Dorneck	SO	Leichte Motorwagen	13121
1995	Bezirk Dorneck	SO	Leichte Motorwagen	13126
1996	Bezirk Dorneck	SO	Leichte Motorwagen	13127
1997	Bezirk Dorneck	SO	Leichte Motorwagen	13131
1998	Bezirk Dorneck	SO	Leichte Motorwagen	13134
1999	Bezirk Dorneck	SO	Leichte Motorwagen	13137
2000	Bezirk Dorneck	SO	Leichte Motorwagen	13138
2001	Bezirk Dorneck	SO	Leichte Motorwagen	13141
2002	Bezirk Dorneck	SO	Leichte Motorwagen	13146
2003	Bezirk Dorneck	SO	Leichte Motorwagen	13149
2004	Bezirk Dorneck	SO	Leichte Motorwagen	13149
2005	Bezirk Dorneck	SO	Leichte Motorwagen	13151
2006	Bezirk Dorneck	SO	Leichte Motorwagen	13151
2007	Bezirk Dorneck	SO	Leichte Motorwagen	13154
2008	Bezirk Dorneck	SO	Leichte Motorwagen	13159
2009	Bezirk Dorneck	SO	Leichte Motorwagen	13162
2010	Bezirk Dorneck	SO	Leichte Motorwagen	13162
2011	Bezirk Dorneck	SO	Leichte Motorwagen	13167
2012	Bezirk Dorneck	SO	Leichte Motorwagen	13170
2013	Bezirk Dorneck	SO	Leichte Motorwagen	13174
2014	Bezirk Dorneck	SO	Leichte Motorwagen	13177
2015	Bezirk Dorneck	SO	Leichte Motorwagen	13181
2016	Bezirk Dorneck	SO	Leichte Motorwagen	13184
2017	Bezirk Dorneck	SO	Leichte Motorwagen	13189
2018	Bezirk Dorneck	SO	Leichte Motorwagen	13189
2019	Bezirk Dorneck	SO	Leichte Motorwagen	13189
2020	Bezirk Dorneck	SO	Leichte Motorwagen	13191
2021	Bezirk Dorneck	SO	Leichte Motorwagen	13192
2022	Bezirk Dorneck	SO	Leichte Motorwagen	13194
2023	Bezirk Dorneck	SO	Leichte Motorwagen	13190
1990	Bezirk Dorneck	SO	Schwere Motorwagen	-120
1991	Bezirk Dorneck	SO	Schwere Motorwagen	0
1992	Bezirk Dorneck	SO	Schwere Motorwagen	0
1993	Bezirk Dorneck	SO	Schwere Motorwagen	3
1994	Bezirk Dorneck	SO	Schwere Motorwagen	3
1995	Bezirk Dorneck	SO	Schwere Motorwagen	4
1996	Bezirk Dorneck	SO	Schwere Motorwagen	2
1997	Bezirk Dorneck	SO	Schwere Motorwagen	5
1998	Bezirk Dorneck	SO	Schwere Motorwagen	6
1999	Bezirk Dorneck	SO	Schwere Motorwagen	10
2000	Bezirk Dorneck	SO	Schwere Motorwagen	15
2001	Bezirk Dorneck	SO	Schwere Motorwagen	15
2002	Bezirk Dorneck	SO	Schwere Motorwagen	17
2003	Bezirk Dorneck	SO	Schwere Motorwagen	17
2004	Bezirk Dorneck	SO	Schwere Motorwagen	20
2005	Bezirk Dorneck	SO	Schwere Motorwagen	20
2006	Bezirk Dorneck	SO	Schwere Motorwagen	23
2007	Bezirk Dorneck	SO	Schwere Motorwagen	24
2008	Bezirk Dorneck	SO	Schwere Motorwagen	25
2009	Bezirk Dorneck	SO	Schwere Motorwagen	30
2010	Bezirk Dorneck	SO	Schwere Motorwagen	30
2011	Bezirk Dorneck	SO	Schwere Motorwagen	31
2012	Bezirk Dorneck	SO	Schwere Motorwagen	36
2013	Bezirk Dorneck	SO	Schwere Motorwagen	41
2014	Bezirk Dorneck	SO	Schwere Motorwagen	40
2015	Bezirk Dorneck	SO	Schwere Motorwagen	40
2016	Bezirk Dorneck	SO	Schwere Motorwagen	41
2017	Bezirk Dorneck	SO	Schwere Motorwagen	43
2018	Bezirk Dorneck	SO	Schwere Motorwagen	48
2019	Bezirk Dorneck	SO	Schwere Motorwagen	50
2020	Bezirk Dorneck	SO	Schwere Motorwagen	51
2021	Bezirk Dorneck	SO	Schwere Motorwagen	51
2022	Bezirk Dorneck	SO	Schwere Motorwagen	55
2023	Bezirk Dorneck	SO	Schwere Motorwagen	56
1990	Bezirk Dorneck	SO	Anhänger	992
1991	Bezirk Dorneck	SO	Anhänger	996
1992	Bezirk Dorneck	SO	Anhänger	996
1993	Bezirk Dorneck	SO	Anhänger	996
1994	Bezirk Dorneck	SO	Anhänger	997
1995	Bezirk Dorneck	SO	Anhänger	1000
1996	Bezirk Dorneck	SO	Anhänger	1002
1997	Bezirk Dorneck	SO	Anhänger	1002
1998	Bezirk Dorneck	SO	Anhänger	1003
1999	Bezirk Dorneck	SO	Anhänger	1005
2000	Bezirk Dorneck	SO	Anhänger	1005
2001	Bezirk Dorneck	SO	Anhänger	1010
2002	Bezirk Dorneck	SO	Anhänger	1015
2003	Bezirk Dorneck	SO	Anhänger	1020
2004	Bezirk Dorneck	SO	Anhänger	1020
2005	Bezirk Dorneck	SO	Anhänger	1023
2006	Bezirk Dorneck	SO	Anhänger	1026
2007	Bezirk Dorneck	SO	Anhänger	1026
2008	Bezirk Dorneck	SO	Anhänger	1030
2009	Bezirk Dorneck	SO	Anhänger	1035
2010	Bezirk Dorneck	SO	Anhänger	1036
2011	Bezirk Dorneck	SO	Anhänger	1036
2012	Bezirk Dorneck	SO	Anhänger	1039
2013	Bezirk Dorneck	SO	Anhänger	1040
2014	Bezirk Dorneck	SO	Anhänger	1045
2015	Bezirk Dorneck	SO	Anhänger	1042
2016	Bezirk Dorneck	SO	Anhänger	1038
2017	Bezirk Dorneck	SO	Anhänger	1043
2018	Bezirk Dorneck	SO	Anhänger	1045
2019	Bezirk Dorneck	SO	Anhänger	1049
2020	Bezirk Dorneck	SO	Anhänger	1044
2021	Bezirk Dorneck	SO	Anhänger	1043
2022	Bezirk Dorneck	SO	Anhänger	1046
2023	Bezirk Dorneck	SO	Anhänger	1050
1990	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	419
1991	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	420
1992	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	424
1993	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	423
1994	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	423
1995	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	423
1996	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	423
1997	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	427
1998	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	431
1999	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	433
2000	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	434
2001	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	438
2002	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	442
2003	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	443
2004	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	439
2005	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	441
2006	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	445
2007	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	441
2008	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	442
2009	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	440
2010	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	443
2011	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	443
2012	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	443
2013	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	445
2014	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	447
2015	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	446
2016	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	451
2017	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	453
2018	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	453
2019	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	454
2020	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	457
2021	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	460
2022	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	455
2023	Bezirk Dorneck	SO	Landw. FZ Ind. Trak.	457
1990	Bezirk Dorneck	SO	Motorräder	1804
1991	Bezirk Dorneck	SO	Motorräder	1804
1992	Bezirk Dorneck	SO	Motorräder	1803
1993	Bezirk Dorneck	SO	Motorräder	1803
1994	Bezirk Dorneck	SO	Motorräder	1803
1995	Bezirk Dorneck	SO	Motorräder	1799
1996	Bezirk Dorneck	SO	Motorräder	1800
1997	Bezirk Dorneck	SO	Motorräder	1795
1998	Bezirk Dorneck	SO	Motorräder	1798
1999	Bezirk Dorneck	SO	Motorräder	1803
2000	Bezirk Dorneck	SO	Motorräder	1802
2001	Bezirk Dorneck	SO	Motorräder	1805
2002	Bezirk Dorneck	SO	Motorräder	1802
2003	Bezirk Dorneck	SO	Motorräder	1802
2004	Bezirk Dorneck	SO	Motorräder	1803
2005	Bezirk Dorneck	SO	Motorräder	1808
2006	Bezirk Dorneck	SO	Motorräder	1808
2007	Bezirk Dorneck	SO	Motorräder	1803
2008	Bezirk Dorneck	SO	Motorräder	1807
2009	Bezirk Dorneck	SO	Motorräder	1810
2010	Bezirk Dorneck	SO	Motorräder	1813
2011	Bezirk Dorneck	SO	Motorräder	1809
2012	Bezirk Dorneck	SO	Motorräder	1809
2013	Bezirk Dorneck	SO	Motorräder	1812
2014	Bezirk Dorneck	SO	Motorräder	1815
2015	Bezirk Dorneck	SO	Motorräder	1815
2016	Bezirk Dorneck	SO	Motorräder	1812
2017	Bezirk Dorneck	SO	Motorräder	1817
2018	Bezirk Dorneck	SO	Motorräder	1817
2019	Bezirk Dorneck	SO	Motorräder	1820
2020	Bezirk Dorneck	SO	Motorräder	1824
2021	Bezirk Dorneck	SO	Motorräder	1829
2022	Bezirk Dorneck	SO	Motorräder	1825
2023	Bezirk Dorneck	SO	Motorräder	1826
1990	Bezirk Dorneck	SO	Klein-Motorräder	-287
1991	Bezirk Dorneck	SO	Klein-Motorräder	0
1992	Bezirk Dorneck	SO	Klein-Motorräder	0
1993	Bezirk Dorneck	SO	Klein-Motorräder	3
1994	Bezirk Dorneck	SO	Klein-Motorräder	8
1995	Bezirk Dorneck	SO	Klein-Motorräder	3
1996	Bezirk Dorneck	SO	Klein-Motorräder	7
1997	Bezirk Dorneck	SO	Klein-Motorräder	4
1998	Bezirk Dorneck	SO	Klein-Motorräder	0
1999	Bezirk Dorneck	SO	Klein-Motorräder	5
2000	Bezirk Dorneck	SO	Klein-Motorräder	6
2001	Bezirk Dorneck	SO	Klein-Motorräder	4
2002	Bezirk Dorneck	SO	Klein-Motorräder	4
2003	Bezirk Dorneck	SO	Klein-Motorräder	4
2004	Bezirk Dorneck	SO	Klein-Motorräder	9
2005	Bezirk Dorneck	SO	Klein-Motorräder	9
2006	Bezirk Dorneck	SO	Klein-Motorräder	8
2007	Bezirk Dorneck	SO	Klein-Motorräder	13
2008	Bezirk Dorneck	SO	Klein-Motorräder	8
2009	Bezirk Dorneck	SO	Klein-Motorräder	13
2010	Bezirk Dorneck	SO	Klein-Motorräder	13
2011	Bezirk Dorneck	SO	Klein-Motorräder	16
2012	Bezirk Dorneck	SO	Klein-Motorräder	21
2013	Bezirk Dorneck	SO	Klein-Motorräder	17
2014	Bezirk Dorneck	SO	Klein-Motorräder	17
2015	Bezirk Dorneck	SO	Klein-Motorräder	22
2016	Bezirk Dorneck	SO	Klein-Motorräder	21
2017	Bezirk Dorneck	SO	Klein-Motorräder	25
2018	Bezirk Dorneck	SO	Klein-Motorräder	28
2019	Bezirk Dorneck	SO	Klein-Motorräder	32
2020	Bezirk Dorneck	SO	Klein-Motorräder	36
2021	Bezirk Dorneck	SO	Klein-Motorräder	33
2022	Bezirk Dorneck	SO	Klein-Motorräder	38
2023	Bezirk Dorneck	SO	Klein-Motorräder	42
1990	Bezirk Dorneck	SO	Gewerbe FZ	-213
1991	Bezirk Dorneck	SO	Gewerbe FZ	0
1992	Bezirk Dorneck	SO	Gewerbe FZ	2
1993	Bezirk Dorneck	SO	Gewerbe FZ	4
1994	Bezirk Dorneck	SO	Gewerbe FZ	7
1995	Bezirk Dorneck	SO	Gewerbe FZ	8
1996	Bezirk Dorneck	SO	Gewerbe FZ	10
1997	Bezirk Dorneck	SO	Gewerbe FZ	10
1998	Bezirk Dorneck	SO	Gewerbe FZ	9
1999	Bezirk Dorneck	SO	Gewerbe FZ	12
2000	Bezirk Dorneck	SO	Gewerbe FZ	8
2001	Bezirk Dorneck	SO	Gewerbe FZ	11
2002	Bezirk Dorneck	SO	Gewerbe FZ	11
2003	Bezirk Dorneck	SO	Gewerbe FZ	16
2004	Bezirk Dorneck	SO	Gewerbe FZ	13
2005	Bezirk Dorneck	SO	Gewerbe FZ	15
2006	Bezirk Dorneck	SO	Gewerbe FZ	20
2007	Bezirk Dorneck	SO	Gewerbe FZ	24
