jahr;bezirk;kanton;typ;anzahl
1990;Bucheggberg;SO;Klein-Motorräder;12
1991;Bucheggberg;SO;Klein-Motorräder;11
1992;Bucheggberg;SO;Klein-Motorräder;11
1993;Bucheggberg;SO;Klein-Motorräder;11
1994;Bucheggberg;SO;Klein-Motorräder;11
1995;Bucheggberg;SO;Klein-Motorräder;11
1996;Bucheggberg;SO;Klein-Motorräder;11
1997;Bucheggberg;SO;Klein-Motorräder;11
1998;Bucheggberg;SO;Klein-Motorräder;11
1999;Bucheggberg;SO;Klein-Motorräder;10
2000;Bucheggberg;SO;Klein-Motorräder;10
2001;Bucheggberg;SO;Klein-Motorräder;9
2002;Bucheggberg;SO;Klein-Motorräder;9
2003;Bucheggberg;SO;Klein-Motorräder;9
2004;Bucheggberg;SO;Klein-Motorräder;9
2005;Bucheggberg;SO;Klein-Motorräder;9
2006;Bucheggberg;SO;Klein-Motorräder;9
2007;Bucheggberg;SO;Klein-Motorräder;9
2008;Bucheggberg;SO;Klein-Motorräder;9
2009;Bucheggberg;SO;Klein-Motorräder;9
2010;Bucheggberg;SO;Klein-Motorräder;9
2011;Bucheggberg;SO;Klein-Motorräder;9
2012;Bucheggberg;SO;Klein-Motorräder;9
2013;Bucheggberg;SO;Klein-Motorräder;8
2014;Bucheggberg;SO;Klein-Motorräder;8
2015;Bucheggberg;SO;Klein-Motorräder;8
2016;Bucheggberg;SO;Klein-Motorräder;8
2017;Bucheggberg;SO;Klein-Motorräder;8
2018;Bucheggberg;SO;Klein-Motorräder;8
2019;Bucheggberg;SO;Klein-Motorräder;8
2020;Bucheggberg;SO;Klein-Motorräder;8
2021;Bucheggberg;SO;Klein-Motorräder;8
2022;Bucheggberg;SO;Klein-Motorräder;8
2023;Bucheggberg;SO;Klein-Motorräder;8
1990;Bucheggberg;SO;Gewerbe FZ;63
1991;Bucheggberg;SO;Gewerbe FZ;65
1992;Bucheggberg;SO;Gewerbe FZ;66
1993;Bucheggberg;SO;Gewerbe FZ;67
1994;Bucheggberg;SO;Gewerbe FZ;69
1995;Bucheggberg;SO;Gewerbe FZ;70
1996;Bucheggberg;SO;Gewerbe FZ;71
1997;Bucheggberg;SO;Gewerbe FZ;71
1998;Bucheggberg;SO;Gewerbe FZ;69
1999;Bucheggberg;SO;Gewerbe FZ;70
2000;Bucheggberg;SO;Gewerbe FZ;71
2001;Bucheggberg;SO;Gewerbe FZ;72
2002;Bucheggberg;SO;Gewerbe FZ;73
2003;Bucheggberg;SO;Gewerbe FZ;74
2004;Bucheggberg;SO;Gewerbe FZ;75
2005;Bucheggberg;SO;Gewerbe FZ;77
2006;Bucheggberg;SO;Gewerbe FZ;79
2007;Bucheggberg;SO;Gewerbe FZ;80
2008;Bucheggberg;SO;Gewerbe FZ;82
2009;Bucheggberg;SO;Gewerbe FZ;84
2010;Bucheggberg;SO;Gewerbe FZ;82
2011;Bucheggberg;SO;Gewerbe FZ;83
2012;Bucheggberg;SO;Gewerbe FZ;84
2013;Bucheggberg;SO;Gewerbe FZ;85
2014;Bucheggberg;SO;Gewerbe FZ;87
2015;Bucheggberg;SO;Gewerbe FZ;89
2016;Bucheggberg;SO;Gewerbe FZ;91
2017;Bucheggberg;SO;Gewerbe FZ;92
2018;Bucheggberg;SO;Gewerbe FZ;91
2019;Bucheggberg;SO;Gewerbe FZ;93
2020;Bucheggberg;SO;Gewerbe FZ;96
2021;Bucheggberg;SO;Gewerbe FZ;95
2022;Bucheggberg;SO;Gewerbe FZ;97
2023;Bucheggberg;SO;Gewerbe FZ;98
1990;Dorneck;SO;Leichte Motorwagen;6726
1991;Dorneck;SO;Leichte Motorwagen;6607
1992;Dorneck;SO;Leichte Motorwagen;6731
1993;Dorneck;SO;Leichte Motorwagen;6928
1994;Dorneck;SO;Leichte Motorwagen;7080
1995;Dorneck;SO;Leichte Motorwagen;7330
1996;Dorneck;SO;Leichte Motorwagen;7584
1997;Dorneck;SO;Leichte Motorwagen;7690
1998;Dorneck;SO;Leichte Motorwagen;7566
1999;Dorneck;SO;Leichte Motorwagen;7826
2000;Dorneck;SO;Leichte Motorwagen;8144
2001;Dorneck;SO;Leichte Motorwagen;8075
2002;Dorneck;SO;Leichte Motorwagen;7965
2003;Dorneck;SO;Leichte Motorwagen;8118
2004;Dorneck;SO;Leichte Motorwagen;8483
2005;Dorneck;SO;Leichte Motorwagen;8679
2006;Dorneck;SO;Leichte Motorwagen;8797
2007;Dorneck;SO;Leichte Motorwagen;9046
2008;Dorneck;SO;Leichte Motorwagen;8987
2009;Dorneck;SO;Leichte Motorwagen;8879
2010;Dorneck;SO;Leichte Motorwagen;9112
2011;Dorneck;SO;Leichte Motorwagen;9171
2012;Dorneck;SO;Leichte Motorwagen;9313
2013;Dorneck;SO;Leichte Motorwagen;9478
2014;Dorneck;SO;Leichte Motorwagen;9634
2015;Dorneck;SO;Leichte Motorwagen;9811
2016;Dorneck;SO;Leichte Motorwagen;9958
2017;Dorneck;SO;Leichte Motorwagen;10291
2018;Dorneck;SO;Leichte Motorwagen;10476
2019;Dorneck;SO;Leichte Motorwagen;10746
2020;Dorneck;SO;Leichte Motorwagen;10958
2021;Dorneck;SO;Leichte Motorwagen;11221
2022;Dorneck;SO;Leichte Motorwagen;11432
2023;Dorneck;SO;Leichte Motorwagen;11301
1990;Dorneck;SO;Schwere Motorwagen;110
1991;Dorneck;SO;Schwere Motorwagen;113
1992;Dorneck;SO;Schwere Motorwagen;116
1993;Dorneck;SO;Schwere Motorwagen;118
1994;Dorneck;SO;Schwere Motorwagen;120
1995;Dorneck;SO;Schwere Motorwagen;123
1996;Dorneck;SO;Schwere Motorwagen;125
1997;Dorneck;SO;Schwere Motorwagen;129
1998;Dorneck;SO;Schwere Motorwagen;132
1999;Dorneck;SO;Schwere Motorwagen;130
2000;Dorneck;SO;Schwere Motorwagen;133
2001;Dorneck;SO;Schwere Motorwagen;131
2002;Dorneck;SO;Schwere Motorwagen;129
2003;Dorneck;SO;Schwere Motorwagen;131
2004;Dorneck;SO;Schwere Motorwagen;134
2005;Dorneck;SO;Schwere Motorwagen;135
2006;Dorneck;SO;Schwere Motorwagen;136
2007;Dorneck;SO;Schwere Motorwagen;134
2008;Dorneck;SO;Schwere Motorwagen;137
2009;Dorneck;SO;Schwere Motorwagen;141
2010;Dorneck;SO;Schwere Motorwagen;143
2011;Dorneck;SO;Schwere Motorwagen;146
2012;Dorneck;SO;Schwere Motorwagen;151
2013;Dorneck;SO;Schwere Motorwagen;154
2014;Dorneck;SO;Schwere Motorwagen;156
2015;Dorneck;SO;Schwere Motorwagen;159
2016;Dorneck;SO;Schwere Motorwagen;163
2017;Dorneck;SO;Schwere Motorwagen;164
2018;Dorneck;SO;Schwere Motorwagen;168
2019;Dorneck;SO;Schwere Motorwagen;171
2020;Dorneck;SO;Schwere Motorwagen;172
2021;Dorneck;SO;Schwere Motorwagen;173
2022;Dorneck;SO;Schwere Motorwagen;177
2023;Dorneck;SO;Schwere Motorwagen;182
1990;Dorneck;SO;Anhänger;666
1991;Dorneck;SO;Anhänger;687
1992;Dorneck;SO;Anhänger;701
1993;Dorneck;SO;Anhänger;713
1994;Dorneck;SO;Anhänger;744
1995;Dorneck;SO;Anhänger;774
1996;Dorneck;SO;Anhänger;792
1997;Dorneck;SO;Anhänger;808
1998;Dorneck;SO;Anhänger;828
1999;Dorneck;SO;Anhänger;814
2000;Dorneck;SO;Anhänger;832
2001;Dorneck;SO;Anhänger;843
2002;Dorneck;SO;Anhänger;834
2003;Dorneck;SO;Anhänger;845
2004;Dorneck;SO;Anhänger;862
2005;Dorneck;SO;Anhänger;873
2006;Dorneck;SO;Anhänger;889
2007;Dorneck;SO;Anhänger;900
2008;Dorneck;SO;Anhänger;888
2009;Dorneck;SO;Anhänger;909
2010;Dorneck;SO;Anhänger;930
2011;Dorneck;SO;Anhänger;958
2012;Dorneck;SO;Anhänger;950
2013;Dorneck;SO;Anhänger;929
2014;Dorneck;SO;Anhänger;946
2015;Dorneck;SO;Anhänger;934
2016;Dorneck;SO;Anhänger;950
2017;Dorneck;SO;Anhänger;978
2018;Dorneck;SO;Anhänger;1002
2019;Dorneck;SO;Anhänger;1014
2020;Dorneck;SO;Anhänger;1034
2021;Dorneck;SO;Anhänger;1026
2022;Dorneck;SO;Anhänger;1046
2023;Dorneck;SO;Anhänger;1070
1990;Dorneck;SO;Landw. FZ Ind. Trak.;379
1991;Dorneck;SO;Landw. FZ Ind. Trak.;393
1992;Dorneck;SO;Landw. FZ Ind. Trak.;408
1993;Dorneck;SO;Landw. FZ Ind. Trak.;423
1994;Dorneck;SO;Landw. FZ Ind. Trak.;431
1995;Dorneck;SO;Landw. FZ Ind. Trak.;421
1996;Dorneck;SO;Landw. FZ Ind. Trak.;434
1997;Dorneck;SO;Landw. FZ Ind. Trak.;446
1998;Dorneck;SO;Landw. FZ Ind. Trak.;459
1999;Dorneck;SO;Landw. FZ Ind. Trak.;471
2000;Dorneck;SO;Landw. FZ Ind. Trak.;484
2001;Dorneck;SO;Landw. FZ Ind. Trak.;495
2002;Dorneck;SO;Landw. FZ Ind. Trak.;489
2003;Dorneck;SO;Landw. FZ Ind. Trak.;499
2004;Dorneck;SO;Landw. FZ Ind. Trak.;508
2005;Dorneck;SO;Landw. FZ Ind. Trak.;516
2006;Dorneck;SO;Landw. FZ Ind. Trak.;525
2007;Dorneck;SO;Landw. FZ Ind. Trak.;531
2008;Dorneck;SO;Landw. FZ Ind. Trak.;547
2009;Dorneck;SO;Landw. FZ Ind. Trak.;561
2010;Dorneck;SO;Landw. FZ Ind. Trak.;578
2011;Dorneck;SO;Landw. FZ Ind. Trak.;587
2012;Dorneck;SO;Landw. FZ Ind. Trak.;601
2013;Dorneck;SO;Landw. FZ Ind. Trak.;611
2014;Dorneck;SO;Landw. FZ Ind. Trak.;626
2015;Dorneck;SO;Landw. FZ Ind. Trak.;637
2016;Dorneck;SO;Landw. FZ Ind. Trak.;649
2017;Dorneck;SO;Landw. FZ Ind. Trak.;655
2018;Dorneck;SO;Landw. FZ Ind. Trak.;669
2019;Dorneck;SO;Landw. FZ Ind. Trak.;686
2020;Dorneck;SO;Landw. FZ Ind. Trak.;703
2021;Dorneck;SO;Landw. FZ Ind. Trak.;694
2022;Dorneck;SO;Landw. FZ Ind. Trak.;709
2023;Dorneck;SO;Landw. FZ Ind. Trak.;715
1990;Dorneck;SO;Motorräder;1072
1991;Dorneck;SO;Motorräder;1111
1992;Dorneck;SO;Motorräder;1143
1993;Dorneck;SO;Motorräder;1166
1994;Dorneck;SO;Motorräder;1201
1995;Dorneck;SO;Motorräder;1239
1996;Dorneck;SO;Motorräder;1257
1997;Dorneck;SO;Motorräder;1286
1998;Dorneck;SO;Motorräder;1266
1999;Dorneck;SO;Motorräder;1258
2000;Dorneck;SO;Motorräder;1288
2001;Dorneck;SO;Motorräder;1316
2002;Dorneck;SO;Motorräder;1335
2003;Dorneck;SO;Motorräder;1311
2004;Dorneck;SO;Motorräder;1340
2005;Dorneck;SO;Motorräder;1356
2006;Dorneck;SO;Motorräder;1390
2007;Dorneck;SO;Motorräder;1377
2008;Dorneck;SO;Motorräder;1392
2009;Dorneck;SO;Motorräder;1428
2010;Dorneck;SO;Motorräder;1417
2011;Dorneck;SO;Motorräder;1446
2012;Dorneck;SO;Motorräder;1502
2013;Dorneck;SO;Motorräder;1527
2014;Dorneck;SO;Motorräder;1566
2015;Dorneck;SO;Motorräder;1587
2016;Dorneck;SO;Motorräder;1618
2017;Dorneck;SO;Motorräder;1650
2018;Dorneck;SO;Motorräder;1687
2019;Dorneck;SO;Motorräder;1728
2020;Dorneck;SO;Motorräder;1765
2021;Dorneck;SO;Motorräder;1775
2022;Dorneck;SO;Motorräder;1822
2023;Dorneck;SO;Motorräder;1850
1990;Dorneck;SO;Klein-Motorräder;26
1991;Dorneck;SO;Klein-Motorräder;27
1992;Dorneck;SO;Klein-Motorräder;28
1993;Dorneck;SO;Klein-Motorräder;27
1994;Dorneck;SO;Klein-Motorräder;28
1995;Dorneck;SO;Klein-Motorräder;28
1996;Dorneck;SO;Klein-Motorräder;28
1997;Dorneck;SO;Klein-Motorräder;28
1998;Dorneck;SO;Klein-Motorräder;27
1999;Dorneck;SO;Klein-Motorräder;27
2000;Dorneck;SO;Klein-Motorräder;28
2001;Dorneck;SO;Klein-Motorräder;28
2002;Dorneck;SO;Klein-Motorräder;28
2003;Dorneck;SO;Klein-Motorräder;28
2004;Dorneck;SO;Klein-Motorräder;28
2005;Dorneck;SO;Klein-Motorräder;28
2006;Dorneck;SO;Klein-Motorräder;28
2007;Dorneck;SO;Klein-Motorräder;27
2008;Dorneck;SO;Klein-Motorräder;27
2009;Dorneck;SO;Klein-Motorräder;27
2010;Dorneck;SO;Klein-Motorräder;27
2011;Dorneck;SO;Klein-Motorräder;27
2012;Dorneck;SO;Klein-Motorräder;27
2013;Dorneck;SO;Klein-Motorräder;27
2014;Dorneck;SO;Klein-Motorräder;27
2015;Dorneck;SO;Klein-Motorräder;27
2016;Dorneck;SO;Klein-Motorräder;28
2017;Dorneck;SO;Klein-Motorräder;28
2018;Dorneck;SO;Klein-Motorräder;27
2019;Dorneck;SO;Klein-Motorräder;27
2020;Dorneck;SO;Klein-Motorräder;26
2021;Dorneck;SO;Klein-Motorräder;26
2022;Dorneck;SO;Klein-Motorräder;26
2023;Dorneck;SO;Klein-Motorräder;26
1990;Dorneck;SO;Gewerbe FZ;63
1991;Dorneck;SO;Gewerbe FZ;65
1992;Dorneck;SO;Gewerbe FZ;66
1993;Dorneck;SO;Gewerbe FZ;67
1994;Dorneck;SO;Gewerbe FZ;68
1995;Dorneck;SO;Gewerbe FZ;70
1996;Dorneck;SO;Gewerbe FZ;72
1997;Dorneck;SO;Gewerbe FZ;72
1998;Dorneck;SO;Gewerbe FZ;74
1999;Dorneck;SO;Gewerbe FZ;72
2000;Dorneck;SO;Gewerbe FZ;70
2001;Dorneck;SO;Gewerbe FZ;72
2002;Dorneck;SO;Gewerbe FZ;74
2003;Dorneck;SO;Gewerbe FZ;76
2004;Dorneck;SO;Gewerbe FZ;78
2005;Dorneck;SO;Gewerbe FZ;77
2006;Dorneck;SO;Gewerbe FZ;78
2007;Dorneck;SO;Gewerbe FZ;76
2008;Dorneck;SO;Gewerbe FZ;77
2009;Dorneck;SO;Gewerbe FZ;76
2010;Dorneck;SO;Gewerbe FZ;77
2011;Dorneck;SO;Gewerbe FZ;79
2012;Dorneck;SO;Gewerbe FZ;80
2013;Dorneck;SO;Gewerbe FZ;82
2014;Dorneck;SO;Gewerbe FZ;84
2015;Dorneck;SO;Gewerbe FZ;86
2016;Dorneck;SO;Gewerbe FZ;87
2017;Dorneck;SO;Gewerbe FZ;85
2018;Dorneck;SO;Gewerbe FZ;86
2019;Dorneck;SO;Gewerbe FZ;88
2020;Dorneck;SO;Gewerbe FZ;89
2021;Dorneck;SO;Gewerbe FZ;91
2022;Dorneck;SO;Gewerbe FZ;93
2023;Dorneck;SO;Gewerbe FZ;92
1990;Gäu;SO;Leichte Motorwagen;8723
1991;Gäu;SO;Leichte Motorwagen;9014
1992;Gäu;SO;Leichte Motorwagen;8885
1993;Gäu;SO;Leichte Motorwagen;9193
1994;Gäu;SO;Leichte Motorwagen;9082
1995;Gäu;SO;Leichte Motorwagen;9315
1996;Gäu;SO;Leichte Motorwagen;9596
1997;Gäu;SO;Leichte Motorwagen;9900
1998;Gäu;SO;Leichte Motorwagen;9690
1999;Gäu;SO;Leichte Motorwagen;9905
2000;Gäu;SO;Leichte Motorwagen;10145
2001;Gäu;SO;Leichte Motorwagen;10384
2002;Gäu;SO;Leichte Motorwagen;10649
2003;Gäu;SO;Leichte Motorwagen;10965
2004;Gäu;SO;Leichte Motorwagen;11112
2005;Gäu;SO;Leichte Motorwagen;11433
2006;Gäu;SO;Leichte Motorwagen;11663
2007;Gäu;SO;Leichte Motorwagen;11860
2008;Gäu;SO;Leichte Motorwagen;12229
2009;Gäu;SO;Leichte Motorwagen;12017
2010;Gäu;SO;Leichte Motorwagen;11908
2011;Gäu;SO;Leichte Motorwagen;12187
2012;Gäu;SO;Leichte Motorwagen;12398
2013;Gäu;SO;Leichte Motorwagen;12614
2014;Gäu;SO;Leichte Motorwagen;12502
2015;Gäu;SO;Leichte Motorwagen;12683
2016;Gäu;SO;Leichte Motorwagen;12993
2017;Gäu;SO;Leichte Motorwagen;13235
2018;Gäu;SO;Leichte Motorwagen;13445
2019;Gäu;SO;Leichte Motorwagen;13730
2020;Gäu;SO;Leichte Motorwagen;13630
2021;Gäu;SO;Leichte Motorwagen;13852
2022;Gäu;SO;Leichte Motorwagen;14161
2023;Gäu;SO;Leichte Motorwagen;14453
1990;Gäu;SO;Schwere Motorwagen;444
1991;Gäu;SO;Schwere Motorwagen;435
1992;Gäu;SO;Schwere Motorwagen;429
1993;Gäu;SO;Schwere Motorwagen;443
1994;Gäu;SO;Schwere Motorwagen;457
1995;Gäu;SO;Schwere Motorwagen;467
1996;Gäu;SO;Schwere Motorwagen;481
1997;Gäu;SO;Schwere Motorwagen;496
1998;Gäu;SO;Schwere Motorwagen;507
1999;Gäu;SO;Schwere Motorwagen;527
2000;Gäu;SO;Schwere Motorwagen;522
2001;Gäu;SO;Schwere Motorwagen;517
2002;Gäu;SO;Schwere Motorwagen;530
2003;Gäu;SO;Schwere Motorwagen;540
2004;Gäu;SO;Schwere Motorwagen;552
2005;Gäu;SO;Schwere Motorwagen;564
2006;Gäu;SO;Schwere Motorwagen;581
2007;Gäu;SO;Schwere Motorwagen;587
2008;Gäu;SO;Schwere Motorwagen;605
2009;Gäu;SO;Schwere Motorwagen;614
2010;Gäu;SO;Schwere Motorwagen;624
2011;Gäu;SO;Schwere Motorwagen;634
2012;Gäu;SO;Schwere Motorwagen;642
2013;Gäu;SO;Schwere Motorwagen;653
2014;Gäu;SO;Schwere Motorwagen;669
2015;Gäu;SO;Schwere Motorwagen;678
2016;Gäu;SO;Schwere Motorwagen;694
2017;Gäu;SO;Schwere Motorwagen;704
2018;Gäu;SO;Schwere Motorwagen;707
2019;Gäu;SO;Schwere Motorwagen;717
2020;Gäu;SO;Schwere Motorwagen;723
2021;Gäu;SO;Schwere Motorwagen;727
2022;Gäu;SO;Schwere Motorwagen;724
2023;Gäu;SO;Schwere Motorwagen;733
1990;Gäu;SO;Anhänger;1081
1991;Gäu;SO;Anhänger;1066
1992;Gäu;SO;Anhänger;1098
1993;Gäu;SO;Anhänger;1125
1994;Gäu;SO;Anhänger;1178
1995;Gäu;SO;Anhänger;1207
1996;Gäu;SO;Anhänger;1244
1997;Gäu;SO;Anhänger;1234
1998;Gäu;SO;Anhänger;1266
1999;Gäu;SO;Anhänger;1301
2000;Gäu;SO;Anhänger;1326
2001;Gäu;SO;Anhänger;1360
2002;Gäu;SO;Anhänger;1378
2003;Gäu;SO;Anhänger;1396
